Tactic ,Technique,Procedure,Indicator
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,euronewstop[.]co[.]uk
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,newstop[.]africa
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,20 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,14 Pages
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,9 accounts
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/euronewstop
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,https://twitter[.]com/newstop_africa
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,youtube[.]com/@NEWS-TOPUK
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.5 Acquiring YouTube channels,youtube[.]com/@NEWSTOP-AFRIQUE
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,https[:]//t[.]me/newstopafrique
,,,
1. Disguising assets,1.1 Adopting visual disguise,1.1.2 Using profile pictures like created using generative adversarial networks (GAN),Fictitious journalist persona often had GAN-created (generative adversarial networks) profile pictures across the internet.
1. Disguising assets,1.2 Posing as non-existent person,1.2.2 Posing as fictional journalist,fictitious journalist personas had consistent profile photos and were backstopped across several internet services
1. Disguising assets,1.2 Posing as non-existent person,1.2.7 Creating fictitious byline,"The Euro Top News brand purports to be a UK-based outlet with stories on international affairs under fictitious journalist bylines.

"
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,EU NEWS TOP
1. Disguising assets,1.3 Posing as non-existent institution,1.3.1 Creating fictitious news outlet ,Newstop:Afrique
1. Disguising assets,1.8 Backstopping,1.8.1 Backstopping fictitious individual across multiple websites,"Fake contributors personas for fictitious news brands had presence on our platform, YouTube, Telegram, and X (formerly Twitter)"
1. Disguising assets,1.8 Backstopping,1.8.2 Backstopping fictitious brand or organization across multiple websites,"These fictitious news brands had presence across several internet services, including ours, YouTube, Telegram, and X (formerly Twitter) to backstop these entities "
,,,
6. Indiscriminate engagement,6.1 Posting on websites ,6.1.2 Posting copied content on websites,The fictitious 'news' website articles often incorporated images and citations from the original sources
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,Fake accounts were used to post content on Facebook and drive people to the operation's off-platform assets
,,,
7. Targeted engagement,7.1 Running ads,7.1.1 Advertising to promote content,"Around $2,800 in spending for ads on Facebook, paid for mostly in US dollars"
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.2 Acquiring Page followers,About 300 accounts followed one or more of these Pages
7. Targeted engagement,7.2 Engaging with users outside the operation,7.2.4 Acquiring Instagram followers,"about 1,800 accounts followed one or more of these Instagram accounts"
7. Targeted engagement,7.3 Engaging with specific audience,7.3.4  Utilising Language-Specific Campaigns,"The operation conducted French and English language campaigns 

"
7. Targeted engagement,7.5 Directing online traffic,7.5.2 Directing audience to website,The operation usually posted links to fictitious ‘news’ websites 
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"For the French-speaking content in Francophone Africa, the operation criticized France’s presence in the region, including through the cartoon-style images. "
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,"For the English-speaking audiences, this campaign posted primarily about diminishing support for Ukraine in the West"
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.2 Posting positive content about named individuals institutions,"For the French-speaking content in Francophone Africa, this operation promoted Russian integration in the region "
