Tactic ,Technique,Procedure,Indicator,Notes
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,CyberCourt[.]io,
,,0.6.2 Acquiring domains to support influence operations,jerusalem-news[.]com,
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rgud-group[.]com,
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,zeusistalking[.]net,
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,zeusistalking[.]com,
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rgud-group[.]net,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.1 Acquiring Facebook assets,48 accounts ,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.2 Acquiring Instagram accounts,2 accounts,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/zeus_is_talking,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.4 Acquiring X / Twitter accounts,x[.]com/rgud181178,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/weredevils0g,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/zeus_is_talking,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/cybercourt_io,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/zeus_leak,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/Nethunt3r,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/makhlab_al_nasr,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/anonymous_south_africa,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/zeus_leak2,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/ze_us_is_talking4,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/ze_us_is_talking5,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]me/rgud_chanel,
0. Acquiring assets,0.9 Acquiring social media accounts,0.9.7 Acquiring Telegram channels,t[.]/RGUD_bot,
,,,,
1. Disguising assets,1.5 Impersonating real institution,1.5.1 Impersonating news website ,The operation impersonated a real news website using jerusalem-news,
1. Disguising assets,1.5 Impersonating real institution,1.5.5 Impersonating existing group or collective,"Two of these campaign brands appeared to have appropriated branding
of existing groups with slight modifications – a Paris-based anti-Zionist
entity and an Israel-based hacker collective.",
,,,,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.1 Amplifying with likely fake accounts on Facebook,The fake accounts were used to amplify the main operation campaign brands including in comments to other people's posts,
6. Indiscriminate engagement,6.2 Amplifying with likely fake accounts on social media,6.2.2 Amplifying with likely fake accounts on Instagram,The fake accounts were used to amplify the main operation campaign brands including in comments to other people's posts,
,,,,
7. Targeted engagement,7.5 Directing online traffic,7.5.2 Directing audience to website,The individuals behind this campaign used fake accounts to drive people off-platform where they claimed to be hosting allegedly hacked documents,
7. Targeted engagement,7.5 Directing online traffic,7.5.1 Directing audience to other social media,"They also used on-platform accounts to  seed  links to their off-platform channels on Telegram
",
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.1 Posting negative content about named individuals or institutions,The ‘Zeus’ campaign posted allegedly hacked material  about Israeli olympic athletes during the Paris Olympics,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,xss[.]is/members/363554,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,leakbase[.]io/nethunt3r,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,https://altenes.is/members/nethun3r.141588,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,https://www.nulled.to/user/60944541-nethunt3r,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,https://cracked.io/NetHunt3r,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,https://craxpro.io/nethunt3r,These personas were used to share/post allegedely hacked materical about individuals
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,CyberCourt[.]io,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,jerusalem-news[.]com,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,rgud-group[.]com,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,zeusistalking[.]net,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,zeusistalking[.]com,
7. Targeted engagement,7.6 Posting about individuals or institutions,7.6.4 Offering or posting allegedly hacked material about individuals or institutions,rgud-group[.]net,
