Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	dhakatv[.]net  
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bnppara[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bdpolitico[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bdpolitico[.]org
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	banglanewsbank[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bdperspectives[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bangladeshtimes360[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	londonbanglanews[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bdanalytica[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bnpnews[.]net
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	hyperjoshim[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	bdsarcasm[.]net
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	khambastar[.]net
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	news360[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	newsbangladesh[.]org[.]bd
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	todaybd24[.]com
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	50 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	98 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/bd_politico
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/tonmoybuet
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/bnppara
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/@DhakaTelevision  
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/@bnppara
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/@bdpolitico1527
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/@hyperjoshim
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/channel/UCHa42HrKBenuE2BdmOHqlfA
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	youtube[.]com/@bnpnama434
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	youtube[.]com/@banglapolitix
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	https://tiktok[.]com/@bnppara 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	https://www.tiktok[.]com/@bnpnewsbd
			
1. Disguising assets	1.1 Adopting visual disguise	1.1.1 Copying profile pictures 	
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	Dhaka Television
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	London Bangla News
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	BNP Para
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	Bangla Politix
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	Bangladesh Perspectives
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	BDAnalytica
1. Disguising assets	1.5 Impersonating real institution	1.5.1 Impersonating news website 	 The network used names of existing news organizations in Bangladesh
1. Disguising assets	1.8 Backstopping	1.8.2 Backstopping fictitious brand or organization across multiple websites	Pages had presence across Youtube, X (formerly Twitter), TikTok and Telegram, and their own websites
			
2. Gathering information	2.2 Monitoring specific events	2.2.1 Monitoring breaking news 	Writes about electoral protests and violence soon after it occurred
			
3. Coordinating and planning	3.1 Coordinating shift patterns	3.1.1 Working to a regular shift pattern	Posting indicates hours between 0700 and 2100 with a peak between 1300 and 1800 and notably fewer posts on Fridays
			
5. Evading detection	5.1 Privacy protection	5.1.1 Privacy protecting website registrations	Registering domains with Namecheap
			
6. Indiscriminate engagement	6.1 Posting on websites 	6.1.1 Posting original content on websites 	Posted anti-BNP and pro-Awami news stories on own websites
			
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	About $60 in spending for ads on Facebook, paid for mostly in Bangladeshi taka
7. Targeted engagement	7.1 Running ads	7.1.2 Advertising to promote goods and services	
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	Posted negative commentary about the BNP and BNP politicians
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	Posted positive commentary about the Awami League and the PM
