Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	37 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	13 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	5 Groups 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	9 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/olivn388
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/AishaHadi19
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/SatbirS06914749
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/s8175593
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	twitter[.]com/Asimov_47
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	http://t[.]me/+ugoxkjuomho4nmy1
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.9 Acquiring and repurposing accounts	The network used compromised accounts
			
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	Posing as Sikh Activists 
			
2. Gathering information	2.2 Monitoring specific events	2.2.1 Monitoring breaking news 	The network posted about floods in the Punjab region, the Sikh community worldwide, the Khalistan independence movement, the assassination of Hardeep Singh Nijjar, a pro-Khalistan independence activist in Canada
			
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.1 Amplifying with likely fake accounts on Facebook	The network amplified one another with fake accounts to give the impression the campaign was more popular than it was. 
