Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	http://jgtm[.]org/
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	www.tikvaodesa[.]com
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	22 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	8 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	8 Groups 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	23 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/changebeliever
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/SecularIsraelis
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/JgtmOrg
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/jgtm_offical
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	https://twitter[.]com/KodeshNews
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	tiktok[.]com/@secularisrael
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	https://www.tiktok[.]com/@israel_breaking_news
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	https://www.tiktok[.]com/@jewishfist
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/IsraeltheSecond
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/Israel_BreakingNews
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/newsrespond 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/newsnowil
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/respondnewsil
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/KodeshNews
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/jgtm_offical
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.7 Acquiring Telegram channels	https://t[.]me/JewishFist
			
1. Disguising assets	1.2 Posing as non-existent person	1.2.3 Posing as fictional activist	Posing as anti-war activists  
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	Posing as a local in support of anti-government protests
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	Posing as a translator 
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	Posing as a fictitious news channel posting about the Haredi community and ultra-Orthadox demonstrations 
1. Disguising assets	1.8 Backstopping	1.8.1 Backstopping fictitious individual across multiple websites	individuals had backstops on other internet services including Telegram, Youtube, X (former Twitter), and Tiktok
			
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	Posting content in support of Prime Minister Netanyahu 
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	Posting content in support of Israeli politician, Itamar Ben-Gvir
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	Posting criticism of Hamas
