Tactic 	Technique	Procedure	Indicator
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	510 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	11 Pages
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	1 Groups 
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	32 accounts
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	https://www[.]youtube[.]com/@UC4Canada
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	nonagenda[.]com
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	ufnews[.]io
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	uc4canada[.]com/
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	the-good-samaritan[.]com
			
1. Disguising assets	1.2 Posing as non-existent person	1.2.8 Posing as fictional person in target region	Posing as Jewish students, African Americans and 'concerned' citizens
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	nonagenda[.]com
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	ufnews[.]io
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	uc4canada[.]com/
			
5. Evading detection	5.4 Copying authentic content	5.4.1 Copying authentic news articles	copying content from real African news entities
5. Evading detection	5.5 Obfuscating infrastructure	5.5.1 Using proxy IP in target country	leveraging North American proxy infrastructure to anonymize its activity
			
6. Indiscriminate engagement	6.2 Amplifying with likely fake accounts on social media	6.2.1 Amplifying with likely fake accounts on Facebook	The campaign purchased inauthentic engagement (i.e. likes and followers) from Vietnam in an attempt to make its content appear more popular than it was.  
			
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 500 accounts followed one or more of these Pages
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.3 Acquiring Group members	less than 100 accounts joined this Group
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	about 2,000 accounts followed one or more of these Instagram accounts.
7. Targeted engagement	7.3 Engaging with specific audience	7.3.3 Commenting on specific posts	The network mass-commented on Facebook Pages of media organizations – both international and local, and political and public figures, including US lawmakers
7. Targeted engagement	7.5 Directing online traffic	7.5.2 Directing audience to website	The network comments linked to the operation’s websites 
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.2 Posting positive content about named individuals institutions	The network posted supportive commentary about Israel’s military actions
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	One of the campaign websites described Jewish Voice for Peace, a Jewish anti-zionist activist organization in the US, as an “active hate group
7. Targeted engagement	7.6 Posting about individuals or institutions	7.6.1 Posting negative content about named individuals or institutions	The network posted criticisms of Muslims, and the United Nations Relief and Works Agency (UNRWA)
			
9. Enabling longevity	9.5 Replacing infrastructure	9.5.1 Changing social media accounts 	Replacing disabled accounts with new account farms
