Tactic 	Technique	Procedure	Indicator	Notes
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	dofek[.]tv	
0. Acquiring assets	0.6 Acquiring domains	0.6.2 Acquiring domains to support influence operations	hahalom[.]com	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	15 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.1 Acquiring Facebook assets	15 pages	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.2 Acquiring Instagram accounts	6 accounts	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	http://twitter[.]com/israelinamin	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.4 Acquiring X / Twitter accounts	http://twitter[.]com/dofek_tv	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	http://youtube[.]com/@IsraelinaMinute-in1zg	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.5 Acquiring YouTube channels	http://youtube[.]com/channel/UCLC1nH7Df-piVzMWhoFYupw	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	http://tiktok[.]com/@israel.in.a.minute	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.6 Acquiring TikTok accounts	http://tiktok[.]com/@dofektv	
0. Acquiring assets	0.9 Acquiring social media accounts	0.9.12 Acquiring other social media assets	http://linktr[.]ee/israelinaminute	
				
1. Disguising assets	1.1 Adopting visual disguise	1.1.2 Using profile pictures like created using generative adversarial networks (GAN)	Some of the accounts in the operation used profile photos likely generated using artificial intelligence such as Generative Adversarial Networks (GAN)	
1. Disguising assets	1.2 Posing as non-existent person	1.2.2 Posing as fictional journalist	A fictitious journalist persona account was detected as part of this network	
1. Disguising assets	1.3 Posing as non-existent institution	1.3.1 Creating fictitious news outlet 	The operation created three fictitious news entities called Dofek, Israel in a Minute, and Halalom Israel	
				
6. Indiscriminate engagement	6.3 Spraying content	6.3.1 Posting common or generic hashtags	This network posted generic hashtags like #Israel, #Jerusalem, #Netanyahu among others.	
				
7. Targeted engagement	7.1 Running ads	7.1.1 Advertising to promote content	Around $9,000 in spending for ads on Facebook and Instagram, paid for mostly in US dollars.	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.2 Acquiring Page followers	About 5,000 accounts followed one or more of these Pages 	
7. Targeted engagement	7.2 Engaging with users outside the operation	7.2.4 Acquiring Instagram followers	5,200 accounts followed one or more of these Instagram accounts.	
7. Targeted engagement	7.3 Engaging with specific audience	7.3.4  Utilising Language-Specific Campaigns	This network posted original content in Hebrew about news and geopolitical events in Israel  	
